Version,V,D,Time(s),GFLOPS,Intensity,Bandwidth(GB/s)
unknown,100,0.25,0.0040,0.001895,0.150000,0.01
unknown,100,1.0,0.0034,0.008821,0.150000,0.06
unknown,1000,0.25,3.8158,0.000197,0.150000,0.00
unknown,1000,0.5,4.9499,0.000303,0.150000,0.00
unknown,5000,0.25,1292.8447,0.000015,0.150000,0.00
unknown,5000,0.5,1172.9670,0.000032,0.150000,0.00
unknown,100,0.25,0.0039,0.001948,0.150000,0.01
unknown,100,1.0,0.0036,0.008345,0.150000,0.06
unknown,1000,0.25,4.3098,0.000174,0.150000,0.00
unknown,1000,0.5,5.4605,0.000275,0.150000,0.00
unknown,5000,0.25,511.5205,0.000037,0.150000,0.00
unknown,5000,0.5,682.3774,0.000055,0.150000,0.00
unknown,100,0.25,0.0034,0.002212,0.150000,0.01
unknown,100,1.0,0.0098,0.003060,0.150000,0.02
unknown,1000,0.25,7.0840,0.000106,0.150000,0.00
unknown,1000,0.5,7.5079,0.000200,0.150000,0.00
unknown,5000,0.25,247.8944,0.000076,0.150000,0.00
unknown,5000,0.5,282.2773,0.000133,0.150000,0.00
unknown,100,0.25,0.0014,0.005357,0.150000,0.04
unknown,100,1.0,0.2584,0.000116,0.150000,0.00
unknown,1000,0.25,3.7552,0.000200,0.150000,0.00
unknown,1000,0.5,3.7846,0.000396,0.150000,0.00
unknown,5000,0.25,223.3220,0.000084,0.150000,0.00
unknown,5000,0.5,288.8013,0.000130,0.150000,0.00
unknown,100,0.25,0.0177,0.000424,0.150000,0.00
unknown,100,1.0,0.0153,0.001957,0.150000,0.01
unknown,1000,0.25,2.2028,0.000340,0.150000,0.00
unknown,1000,0.5,2.7509,0.000545,0.150000,0.00
unknown,5000,0.25,188.4184,0.000100,0.150000,0.00
unknown,5000,0.5,224.4020,0.000167,0.150000,0.00
