Version,V,D,Time(s),GFLOPS,Intensity,Bandwidth(GB/s)
unknown,100,0.25,0.0081,0.000931,0.150000,0.01
unknown,100,1.0,0.0094,0.003200,0.150000,0.02
unknown,1000,0.25,0.9718,0.000772,0.150000,0.01
unknown,1000,0.5,1.2621,0.001188,0.150000,0.01
unknown,5000,0.25,172.9605,0.000108,0.150000,0.00
unknown,5000,0.5,245.5971,0.000153,0.150000,0.00
unknown,100,0.25,1.6373,0.000005,0.150000,0.00
unknown,100,1.0,1.9127,0.000016,0.150000,0.00
unknown,1000,0.25,16.4638,0.000046,0.150000,0.00
unknown,1000,0.5,18.0459,0.000083,0.150000,0.00
unknown,5000,0.25,347.3741,0.000054,0.150000,0.00
unknown,100,0.25,0.9968,0.000008,0.150000,0.00
unknown,100,1.0,0.7169,0.000042,0.150000,0.00
unknown,1000,0.25,21.0037,0.000036,0.150000,0.00
unknown,1000,0.5,19.2398,0.000078,0.150000,0.00
unknown,5000,0.5,530.2707,0.000071,0.150000,0.00
unknown,5000,0.25,439.8724,0.000043,0.150000,0.00
unknown,5000,0.5,243.2262,0.000154,0.150000,0.00
