Version,V,D,Time(s),GFLOPS,Intensity,Bandwidth(GB/s)
v1,100,0.25,0.0000,0.153061,0.150000,1.02
v1,100,1.0,0.0001,0.422535,0.150000,2.82
v1,1000,0.25,0.0019,0.402145,0.150000,2.68
v1,1000,0.5,0.0038,0.392567,0.150000,2.62
v1,5000,0.25,0.0253,0.741605,0.150000,4.94
v1,5000,0.5,0.0496,0.756292,0.150000,5.04
v1,100,0.25,0.0001,0.073529,0.150000,0.49
v1,100,1.0,0.0002,0.164835,0.150000,1.10
v1,1000,0.25,0.0011,0.708885,0.150000,4.73
v1,1000,0.5,0.0016,0.940439,0.150000,6.27
v1,5000,0.25,0.0133,1.413281,0.150000,9.42
v1,5000,0.5,0.0277,1.355111,0.150000,9.03
v1,100,0.25,0.0002,0.036946,0.150000,0.25
v1,100,1.0,0.0009,0.035211,0.150000,0.23
v1,1000,0.25,0.0011,0.713606,0.150000,4.76
v1,1000,0.5,0.0121,0.123742,0.150000,0.82
v1,5000,0.25,0.0107,1.750373,0.150000,11.67
v1,5000,0.5,0.0193,1.938285,0.150000,12.92
v1,100,0.25,0.1783,0.000042,0.150000,0.00
v1,100,1.0,0.0962,0.000312,0.150000,0.00
v1,1000,0.25,0.0869,0.008629,0.150000,0.06
v1,1000,0.5,0.0612,0.024523,0.150000,0.16
v1,5000,0.25,0.0419,0.447494,0.150000,2.98
v1,5000,0.5,0.0783,0.478952,0.150000,3.19
v1,100,0.25,0.0052,0.001438,0.150000,0.01
v1,100,1.0,0.0018,0.016331,0.150000,0.11
v1,1000,0.25,0.0016,0.481386,0.150000,3.21
v1,1000,0.5,0.0035,0.433150,0.150000,2.89
v1,5000,0.25,0.0083,2.260398,0.150000,15.07
v1,5000,0.5,0.0132,2.837899,0.150000,18.92
v1,100,0.25,0.0000,0.159574,0.150000,1.06
v1,100,1.0,0.0001,0.416667,0.150000,2.78
v1,1000,0.25,0.0018,0.428571,0.150000,2.86
v1,1000,0.5,0.0019,0.776800,0.150000,5.18
v1,5000,0.25,0.0181,1.038724,0.150000,6.92
v1,5000,0.5,0.0508,0.737840,0.150000,4.92
v1,100,0.25,0.0001,0.058594,0.150000,0.39
v1,100,1.0,0.0001,0.300000,0.150000,2.00
v1,1000,0.25,0.0010,0.756048,0.150000,5.04
v1,1000,0.5,0.0013,1.152074,0.150000,7.68
v1,5000,0.25,0.0472,0.396901,0.150000,2.65
v1,5000,0.5,0.0231,1.623306,0.150000,10.82
v1,100,0.25,0.0002,0.043103,0.150000,0.29
v1,100,1.0,0.0003,0.088757,0.150000,0.59
v1,1000,0.25,0.0010,0.783699,0.150000,5.22
v1,1000,0.5,0.0013,1.121076,0.150000,7.47
v1,5000,0.25,0.0138,1.356337,0.150000,9.04
v1,5000,0.5,0.0225,1.669115,0.150000,11.13
v1,100,0.25,0.1308,0.000057,0.150000,0.00
v1,100,1.0,0.0952,0.000315,0.150000,0.00
v1,1000,0.25,0.1348,0.005565,0.150000,0.04
v1,1000,0.5,0.0769,0.019505,0.150000,0.13
v1,5000,0.25,0.0638,0.293726,0.150000,1.96
v1,5000,0.5,0.0675,0.555309,0.150000,3.70
v1,100,0.25,0.0049,0.001540,0.150000,0.01
v1,100,1.0,0.0032,0.009488,0.150000,0.06
v1,1000,0.25,0.0034,0.218850,0.150000,1.46
v1,1000,0.5,0.0070,0.212917,0.150000,1.42
v1,5000,0.25,0.0173,1.084693,0.150000,7.23
v1,5000,0.5,0.0248,1.510148,0.150000,10.07
